Số tuyến,Tên tuyến,,,Trạm ,Cự ly,Thời gian hoạt động,Thời gian chuyến,Tuần suất mỗi chuyến,Loại xe,Đơn vị đảm nhiệm,Hình thức thanh toán,Ghi chú
1,"Bến Thành
Công trường Mê Linh
Thi Sách, Phường Sài Gòn",↔,"Chợ Lớn
Bến xe buýt Chợ Lớn A, Phường Bình Tây",Công trường Mê Linh-Thi Sách-Công trường Mê Linh-Tôn Đức Thắng-Hàm Nghi - Phó Đức Chính - Nguyễn Thái Bình - Ký Con - Trần Hưng Đạo-Nguyễn Tri Phương-Trần Phú-Trần Hưng Đạo-Châu Văn Liêm-Hải Thượng Lãn Ông-Trang Tử-Ga Chợ Lớn A,"8,59 km",05:00 - 20:15,35 phút,15 – 18 phút,Samco City Hi-Class I.47 Samco City Hi-Class I.50,"Công ty TNHH Du lịch, Dịch vụ Xây dựng Bảo Yến (Bao Yen Group)","Tiền mặt
Thẻ ngân hàng
Ví điện tử",
3,"Bến Thành
 Bến xe buýt Sài Gòn, Phường Bến Thành",↔,"Thạnh Xuân Bãi xe Thạnh Xuân 52
Thạnh Xuân 52, Phường Thới An",Ga hành khách xe buýt Sài Gòn (Công viên 23/9) – Phạm Ngũ Lão – Yersin – Trần Hưng Đạo – Hàm Nghi - Hồ Tùng Mậu - đường nhánh S2 - Tôn Đức Thắng - Hai Bà Trưng - Phan Đình Phùng - Nguyễn Kiệm - Nguyễn Thái Sơn - Phạm Ngũ Lão - Nguyễn Oanh - Hà Huy Giáp - Thạnh Lộc 22 - Bến Thạnh Lộc 29.,"20,6 km",04:00 - 21:00,60 – 65 phút,6 – 12 phút,Kim Long B60 EV,,"Tiền mặt
FutaPay",Tuyến xe điện
4,,Cộng Hòa ↔,"Bến xe An Sương
Lê Quang Đạo, Xã Bà Điểm",Bến Công viên 23/9 – Phạm Ngũ Lão – Yersin – Trần Hưng Đạo – Hàm Nghi - Pasteur - Võ Thị Sáu - Nam Kỳ Khởi Nghĩa - Nguyễn Văn Trỗi – Phan Đình Giót - Phan Thúc Duyện - Trần Quốc Hoàn - Cộng Hòa - Trường Chinh - ngã 4 An Sương - Quốc Lộ 22 - Quay đầu tại ngã 3 Công ty Việt Hưng – Quốc lộ 22 - BX An Sương,"16,42 km",05:00 - 20:15,50 – 70 phút,8 – 10 phút,"Thaco Garden 79CT Samco City Hi-Class I.47
Samco City Hi-Class I.50","Công ty TNHH Du lịch, Dịch vụ Xây dựng Bảo Yến (Bao Yen Group)","Tiền mặt
Thẻ ngân hàng
Ví điện tử",
6,"Chợ Lớn
Bến xe buýt Chợ Lớn A, Phường Bình Tây",↔,"Đại học Nông Lâm
Đỗ Mười, Phường Linh Xuân",Ga Chợ Lớn A-Lê Quang Sung-Nguyễn Thị Nhỏ-Hồng Bàng-An Dương Vương-Nguyễn Văn Cừ-Nguyễn Thị Minh Khai-Xô Viết Nghệ Tĩnh-Điện Biên Phủ-Xa lộ Hà Nội-Nguyễn Văn Bá-Đặng Văn Bi-Võ Văn Ngân - Ngã tư Thủ Đức -Xa lộ Hà Nội-Tân Lập 1- Đường song hành phải Xa lộ Hà Nội-Đường D1-Xa lộ Hà Nội-Quốc lộ 1A-Bến Trường Đại học Nông Lâm.,"26,5 km",04:55 - 21:00,70 phút,8 – 15 phút,Samco City H.68 CNG Samco City Hi-Class H.76 CNG,,"Tiền mặt
Thẻ ngân hàng",
7,,↔,"Gò Vấp
Bãi hậu cần số 1
Phan Văn Trị, Phường An Nhơn",Ga Chợ Lớn - Lê Quang Sung - Phạm Đình Hổ - Tháp Mười - Hải Thượng Lãng Ông - Châu Văn Liêm - Hồng Bàng - An Dương Vương - Nguyễn Tri Phương - 3 Tháng 2 - Vòng Xoay Công Trường Dân Chủ - Nguyên Phúc Nguyên - Ga Sài Gòn - Nguyễn Thông - Kỳ Đồng - Trần Quốc Thảo - Lê Văn Sỹ - Trần Huy Liệu - Nguyễn Văn Trỗi - Phan Đình Giót - Phổ Quang - Hoàng Minh Giám - Nguyễn Thái Sơn - Phan Văn Trị - Bãi Hậu Cần Số 1,"15,5 km",04:00 - 20:00,65 phút,10 – 20 phút,Kim Long B55,,"Tiền mặt
FutaPay",
8,"Bến xe buýt Quận 8
Quốc lộ 50, Phường Bình Đông",↔,"Đại học Quốc gia
Bến xe buýt khu A, Đại học Quốc gia
Phường Đông Hòa",Bến xe Quận 8 - Quốc lộ 50 - cầu Nhị Thiên Đường - Tùng Thiện Vương - cầu Chà Và - Hải Thượng Lãn Ông - quay đầu - Triệu Quang Phục-Hải Thượng Lãn Ông - Châu Văn Liêm - Hồng Bàng - Lý Thường Kiệt - Hoàng Văn Thụ -Phan Đăng Lưu - Bạch Đằng - Xô Viết Nghệ Tĩnh - Quốc lộ 13-Phạm Văn Đồng - Kha Vạn Cân - Võ Văn Ngân –Ngã tư Thủ Đức - Xa lộ Hà Nội - Quốc lộ 1 - quay đầu trên cầu vượt – Quốc lộ 1 - (ngã ba đường vào khu ký túc xá) - (ngã ba đường vào Trường ĐH Quốc Tế) - (ngã ba đường vào Trường ĐH Khoa Học Tự Nhiên) - Bến xe buýt A Khu ĐH Quốc Gia TP.HCM.,"32,7 km",04:40 - 20:30,80 – 90 phút,3 – 10 phút,Samco City H.68 CNG,,Tiền mặt,
9,"Chợ Lớn
Bến xe buýt Chợ Lớn A, Phường Bình Tây",Quốc lộ 1A ↔,"Hưng Long
Bãi xe Hưng Long
Đoàn Nguyễn Tuấn, Xã Hưng Long",Bến xe Chợ Lớn - Phạm Đình Hổ - Hồng Bàng - Kinh Dương Vương - Quốc lộ 1A - Đinh Đức Thiện - Hương Lộ 11 - Hưng Long,25 km,03:45 - 19:30,70 phút,8 – 15 phút,Golden Dragon B55,,"Tiền mặt
FutaPay",
10,"Đại học Quốc gia
Bến xe buýt khu A, Đại học Quốc gia
Phường Đông Hòa",↔,"Bến xe Miền Tây
Kinh Dương Vương, Phường An Lạc",Bến xe buýt A Khu đô thị ĐH Quốc Gia TP.HCM - Đường 621 - Xa lộ Hà Nội - Điện Biên Phủ - Đinh Tiên Hoàng - Võ Thị Sáu - Đường 3/2 - Nguyễn Tri Phương - Ngô Gia Tự - Hồng Bàng - Châu Văn Liêm - Hải Thương Lãn Ông - Lê Quang Sung - Phạm Đình Hổ - Hậu Giang - Kinh Dương Vương - Bến xe Miền Tây (trả khách) - Kinh Dương Vương - Chỗ đậu xe buýt tại Bến xe Miền Tây.,"30,85 km",04:45 - 21:00,80 phút,15 – 25 phút,Samco City H.68 CNG Samco City Hi-Class I.51 CNG,,"Tiền mặt
Thẻ ngân hàng",
13,"Bến Thành
Bến xe buýt Sài Gòn, Phường Bến Thành",↔,"Bến xe Củ Chi
Phan Văn Khải, Xã Tân An Hội",TĐH xe buýt Sài Gòn -Phạm Ngũ Lão -Yersin - Trần Hung Đạo - Bến Thành - Lê Lai - Phạm Hồng Thái - Cách Mạng Tháng Tám - Hoàng Văn Thụ - Xuân Diệu - Xuân Hồng - Trường Chinh - Quốc lộ 22 - Bến xe Củ Chi,"36,3 km",04:00 - 19:45,,15 – 20 phút,Samco City Hi-Class H.76 CNG,HTX Vận tải 19/5,Tiền mặt,Không trợ giá
14,"Bến xe Miền Đông
Đinh Bộ Lĩnh, Phường Bình Thạnh",↔,"Bến xe Miền Tây
Kinh Dương Vương, Phường An Lạc",Bến xe Miền Đông - Đinh Bộ Lĩnh - Nguyễn Xí - Ung Văn Khiêm - Đường D2 - Điện Biên Phủ - Vòng xoay Hàng Xanh – Xô Viết Nghệ Tĩnh – Nguyễn Thị Minh Khai - Phùng Khắc Khoan - Trần Cao Vân - Võ Văn Tần - Bà Huyện Thanh Quan - Nguyễn Thị Minh Khai - Lý Thái Tổ - 3 Tháng 2 - Hồng Bàng - Kinh Dương Vương – Bến xe Miền Tây (trả khách) – Kinh Dương Vương – Bến xe Miền Tây.,"16,4 km",04:00 - 20:30,60 phút,6 – 12 phút,Kim Long B55,,"Tiền mặt
FutaPay",
15,"Chợ Phú Định
Bãi xe Chợ Phú Định
Đường 44 Trương Đình Hội (Phạm Đức Sơn), Phường Phú Định",↔,"Đầm Sen
Bãi xe buýt Đầm Sen
Hòa Bình, Phường Bình Thới",Chợ Phú Định(đậu xe trên đường 44 cạnh trường THPT chuyên NK TDTT Nguyễn Thị Định) - Đường 44 - Đường 41 - Phú Định - Trương Đình Hội -An Dương Vương - Hồ Học Lãm - Quốc lộ 1A - Hương lộ 2 - Hòa Bình - BÃI XE BUÝT ĐẦM SEN,"17,1 km",05:00 - 19:00,50 phút,20 – 22 phút,Bahai HC B40 (2013),,Tiền mặt,
16,"Chợ Lớn
Bến xe buýt Chợ Lớn A, Phường Bình Tây",↔,"Bến xe buýt Tân Phú
Trường Chinh, Phường Tây Thạnh",Ga Chợ Lớn B – đường Lê Quang Sung – đường Nguyễn Thị Nhỏ – đường Hồng Bàng – đường Tân Hòa Đông – đường Trương Phước Phan – đường Chiến Lược – đường Đất Mới – đường Hương lộ 2 – đường Mã Lò – đường Tân Kỳ Tân Quý – hẻm 414 Tân Kỳ Tân Quý – đường Bờ bao Tân Thắng – đường Lê Trọng Tấn – đường Dương Đức Hiền – đường Chế Lan Viên – đường Trường Chinh – Bến xe Tân Phú.,"16,8 km",05:00 - 19:00,55 phút,12 – 20 phút,Golden Dragon B55,,"Tiền mặt
FutaPay",
