"stop_code","stop_name","address","routes","url"
"1","Trạm xe bus 8 An Dương Vương","","31, 58","https://xebuyt.net/1-8-an-duong-vuong"
"Q6 095","Trạm xe buýt [Q6 095] Chu Văn An, Quận 6","27 Tháp Mười, Quận 6, Tp.Hồ Chí Minh","01, 05, 07, 10, 25, 47, 54, 56, 144, 150","https://xebuyt.net/1-chu-van-an"
"Q5 060","Trạm xe buýt [Q5 060] Chung cư Nguyễn Trãi, Quận 5","549 Nguyễn Trãi, Quận 5, Tp.Hồ Chí Minh","01, 54","https://xebuyt.net/10-chung-cu-nguyen-trai"
"31","Trạm xe bus Trường tiểu học Đông Ngạc A Chèm - An Dương Vương","","31","https://xebuyt.net/10-truong-tieu-hoc-dong-ngac-a-chem-an-duong-vuong"
"102","Trạm xe bus 11A Cát Linh","","23, 25, 49, 50","https://xebuyt.net/100-11a-cat-linh"
"Q11 001","Trạm xe buýt [Q11 001] Nhà sách Phú Thọ, Quận 11","940 (6B) Đường 3/2, Quận 11, Tp.Hồ Chí Minh","02, 14, 27, 103","https://xebuyt.net/100-nha-sach-phu-tho"
"06A","Trạm xe bus Cửa hàng Thanh Hưởng (Đạm - Lân - Kali) - Quốc Lộ 1A","","06A, 06C, 06D, 06E","https://xebuyt.net/1000-cua-hang-thanh-huong-dam-lan-kali-quoc-lo-1a"
"QTB 061","Trạm xe buýt [QTB 061] Hồ Bơi Cộng Hòa, Quận Tân Bình","1003 Cách Mạng Tháng Tám, Quận Tân Bình, Tp.Hồ Chí Minh","30, 65, 103","https://xebuyt.net/1000-ho-boi-cong-hoa"
"QTB 063","Trạm xe buýt [QTB 063] Bành Văn Trân, Quận Tân Bình","771 Cách Mạng Tháng Tám, Quận Tân Bình, Tp.Hồ Chí Minh","30, 65, 103","https://xebuyt.net/1001-banh-van-tran"
"06A","Trạm xe bus Cách công ty PTXD Hoàng Long 50m - Quốc Lộ 1A","","06A, 06C, 06D, 06E","https://xebuyt.net/1001-cach-cong-ty-ptxd-hoang-long-50m-quoc-lo-1a"
"06A","Trạm xe bus BX Thường Tín - Quốc Lộ 1A","","06A, 06C, 06D, 06E","https://xebuyt.net/1002-bx-thuong-tin-quoc-lo-1a"
"QTB 062","Trạm xe buýt [QTB 062] Ông Tạ, Quận Tân Bình","907 Cách Mạng Tháng Tám, Quận Tân Bình, Tp.Hồ Chí Minh","30, 65, 103","https://xebuyt.net/1002-ong-ta"
"Q10 083","Trạm xe buýt [Q10 083] Công Viên Lê Thị Riêng, Quận 10","Công Viên Lê Thị Riêng Cách Mạng Tháng Tám, Quận 10, Tp.Hồ Chí Minh","13, 30, 65, 103","https://xebuyt.net/1003-cong-vien-le-thi-rieng"
"Q10 062","Trạm xe buýt [Q10 062] Ngân hàng quân đội, Quận 10","136 Tô Hiến Thành, Quận 10, Tp.Hồ Chí Minh","38, 59, 69, 103","https://xebuyt.net/1007-ngan-hang-quan-doi"
"Q10 060","Trạm xe buýt [Q10 060] BV Trưng Vương, Quận 10","142 kios 37-38 Tô Hiến Thành, Quận 10, Tp.Hồ Chí Minh","38, 59, 69, 103","https://xebuyt.net/1008-bv-trung-vuong"
"06A","Trạm xe bus Cách đường vào Đình Làng Yên Phú 150m(Chiều Thường Tín - Ga HN) - Quốc lộ 1A","","06A, 06B, 06C, 06D, 06E, 62","https://xebuyt.net/1008-cach-duong-vao-dinh-lang-yen-phu-150m-chieu-thuong-tin-ga-hn-quoc-lo-1a"
"23","Trạm xe bus Chùa An Quốc - Cát Linh","","23, 25, 38","https://xebuyt.net/101-chua-an-quoc-cat-linh"
"Q11 002","Trạm xe buýt [Q11 002] Lãnh Binh Thăng, Quận 11","970 Đường 3/2, Quận 11, Tp.Hồ Chí Minh","02, 14, 103","https://xebuyt.net/101-lanh-binh-thang"
"Q5 022","Trạm xe buýt [Q5 022] Bến xe Chợ Lớn, Quận 5","266 Hồng Bàng, Quận 5, Tp.Hồ Chí Minh","23, 66, 103, 139","https://xebuyt.net/1010-ben-xe-cho-lon"
"1050","Trạm xe bus Cột mốc Km H6/8 - Quốc lộ 2","","56A, 56B, 56C, 58, 64","https://xebuyt.net/1011-cot-moc-km-h6-8-quoc-lo-2"
"Q1 148","Trạm xe buýt [Q1 148] Chùa Lâm Tế, Quận 1","Đối diện 211 (212A) Nguyễn Trãi, Quận 1, Tp.Hồ Chí Minh","11, 46","https://xebuyt.net/1012-chua-lam-te"
"1052","Trạm xe bus Cột mốc Km H7/10 - Quốc lộ 2","","58","https://xebuyt.net/1013-cot-moc-km-h7-10-quoc-lo-2"
"Q10 061","Trạm xe buýt [Q10 061] Đại Học Bách Khoa (cổng sau), Quận 10","350 ( cũ 142) Tô Hiến Thành, Quận 10, Tp.Hồ Chí Minh","38, 59, 69, 103","https://xebuyt.net/1013-dai-hoc-bach-khoa-cong-sau"
"1053","Trạm xe bus Cộc mốc Km H3/12 - Quốc lộ 2","","58","https://xebuyt.net/1014-coc-moc-km-h3-12-quoc-lo-2"
"Q11 025","Trạm xe buýt [Q11 025] Đường 3/2, Quận 11","170-172 Lê Đại Hành, Quận 11, Tp.Hồ Chí Minh","11, 62","https://xebuyt.net/1014-duong-3-2"
"Q11 083","Trạm xe buýt [Q11 083] Trạm Trần Quý - Tạ Uyên, Quận 11","193 Tạ Uyên, Quận 11, Tp.Hồ Chí Minh","23, 103, 144","https://xebuyt.net/1015-tram-tran-quy-ta-uyen"
"Q11 033","Trạm xe buýt [Q11 033] Cổng chào CV Đầm sen, Quận 11","20 Lãnh Binh Thăng, Quận 11, Tp.Hồ Chí Minh","11, 62","https://xebuyt.net/1016-cong-chao-cv-dam-sen"
"1056","Trạm xe bus Đối diện Nhà máy Honda - Quốc lộ 2","","58","https://xebuyt.net/1017-doi-dien-nha-may-honda-quoc-lo-2"
"Q5 080","Trạm xe buýt [Q5 080] Tạ Uyên, Quận 5","79 Tạ Uyên, Quận 5, Tp.Hồ Chí Minh","23, 66, 96, 103","https://xebuyt.net/1017-ta-uyen"
"Q11 035","Trạm xe buýt [Q11 035] CV Lãnh Binh Thăng, Quận 11","Đối diện Trường mầm non (278) Lãnh Binh Thăng, Quận 11, Tp.Hồ Chí Minh","11, 23, 62","https://xebuyt.net/1018-cv-lanh-binh-thang"
"1057","Trạm xe bus Đối diện Nhà máy Toyota - Quốc lộ 2","","58","https://xebuyt.net/1018-doi-dien-nha-may-toyota-quoc-lo-2"
"Q1 149","Trạm xe buýt [Q1 149] City plaza, Quận 1","230 Nguyễn Trãi, Quận 1, Tp.Hồ Chí Minh","11, 46","https://xebuyt.net/1019-city-plaza"
"23","Trạm xe bus 40 Cát Linh - Đối diện THCS Cát Linh","","23, 25, 38","https://xebuyt.net/102-40-cat-linh-doi-dien-thcs-cat-linh"
"1059","Trạm xe bus 220 Nguyễn Trãi (Phúc Yên) - Quốc lộ 2","","58","https://xebuyt.net/1020-220-nguyen-trai-phuc-yen-quoc-lo-2"
