csv_code,routeName,operator,transportType,totalDistance,vehicleType,operatingTime,baseFare,numTrips,tripTime,frequency
1,Bến Thành - Bến xe buýt Chợ Lớn,"Công ty TNHH Du lịch, Dịch vụ Xây dựng Bảo Yến, ĐT: 028.3776.3777",Phổ thông - Có trợ giá,8.59 km,50 chỗ,05:00 - 20:15,"- Vé lượt trợ giá: 5,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé tập: 112,500 VNĐ",120 chuyến/ngày,35 phút,15 - 18 phút
2,Ben Thanh Ben Xe Mien Tay,(08) 38.441.224,Phổ thông - Có trợ giá,"13,65 KM",,,,,,
3,Bến Thành - Thạnh Xuân,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,20.60 km,60 chỗ,04:00 - 21:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",260 chuyến/ngày,60 - 65 phút,6 - 12 phút
4,Bến Thành - Cộng Hòa - Bến xe An Sương,"Công ty TNHH Du lịch, Dịch vụ Xây dựng Bảo Yến, ĐT: 028.3776.3777",Phổ thông - Có trợ giá,16.42 km,47 - 50 chỗ,05:00 - 20:15,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",200 chuyến/ngày,50 - 70 phút,8 - 10 phút
5,Bến xe buýt Chợ Lớn - Bến xe Biên Hòa,"Hợp tác xã vận tải xe buýt Quyết Thắng, ĐT: (028)38.642.712 Công ty Cổ phần Đầu tư Phát triển Vận tải Vĩnh Phú, ĐT: (0251)3.838.191",Phổ thông - Không trợ giá,38.00 km,40 chỗ,04:50 - 17:50,"- Vé lượt không trợ giá: 10,000 VNĐ - Vé lượt không trợ giá: 20,000 VNĐ - Vé lượt không trợ giá: 30,000 VNĐ",56 chuyến/ngày,100 phút,20 - 50 phút
6,Bến xe buýt Chợ Lớn - Đại học Nông Lâm,"Công ty Cổ phần Xe khách Sài Gòn, ĐT: (028)39505505",Phổ thông - Có trợ giá,26.50 km,68 - 76 chỗ,04:55 - 21:00,"- Vé lượt trợ giá: 7,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé tập: 157,500 VNĐ",156 chuyến/ngày,70 phút,8 - 15 phút
7,Bến xe buýt Chợ Lớn - Gò Vấp,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,15.50 km,55 chỗ,04:00 - 20:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",134 chuyến/ngày,65 phút,10 - 20 phút
8,Bến xe buýt Quận 8 - Đại học Quốc gia,"Hợp tác xã vận tải xe buýt Quyết Thắng, ĐT: (028)38.642.712",Phổ thông - Có trợ giá,32.70 km,68 chỗ,04:40 - 20:30,"- Vé lượt trợ giá: 7,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé tập: 157,500 VNĐ",348 chuyến/ngày,80 - 90 phút,2 - 10 phút
9,Bến xe buýt Chợ Lớn - Bình Chánh - Hưng Long,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,25.00 km,55 chỗ,03:45 - 19:30,"- Vé lượt trợ giá: 7,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé tập: 157,500 VNĐ",170 chuyến/ngày,70 phút,8 - 15 phút
10,Đại học Quốc Gia - Bến xe Miền Tây,"Công ty Cổ phần Xe khách Sài Gòn, ĐT: (028)39505505",Phổ thông - Có trợ giá,30.85 km,51 - 68 chỗ,04:45 - 21:00,"- Vé lượt trợ giá: 7,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé tập: 157,500 VNĐ",102 chuyến/ngày,80 phút,15 - 25 phút
