Key,RouteNo,RouteName,RouteVarShortName,StartStop,EndStop,Outbound,RunningTime
1_1,1,Lượt đi: Bến Thành - BX Chợ Lớn,BX Chợ Lớn,Công Trường Mê Linh,Bến xe Chợ Lớn,TRUE,35
1_1,1,Lượt về: BX Chợ Lớn - Bến Thành,Bến Thành,Bến xe Chợ Lớn,Công Trường Mê Linh,FALSE,30
2_1,2,Lượt đi: Bến Thành - BX Miền Tây,BX Miền Tây,Công Trường Mê Linh,Bến xe Miền Tây,TRUE,47
2_1,2,Lượt về: BX Miền Tây - Bến Thành,Bến Thành,Bến xe Miền Tây,Công Trường Mê Linh,FALSE,47
3_1,3,Lượt đi: Bến Thành - Thạnh Lộc,Thạnh Lộc,TĐH xe buýt Sài Gòn,THẠNH LỘC,TRUE,55
3_1,3,Lượt về: Thạnh Lộc - Bến Thành,Bến Thành,THẠNH LỘC,TĐH xe buýt Sài Gòn,FALSE,55
4_1,4,Lượt đi: Công viên 23/9 - An Sương,An Sương,TĐH xe buýt Sài Gòn,Bến xe An Sương,TRUE,55
4_1,4,Lượt về: An Sương - Công viên 23/9,Bến Thành,Bến xe An Sương,TĐH xe buýt Sài Gòn,FALSE,50
5_1,5,Bến xe Chợ Lớn - Biên Hòa,Biên Hòa,Bến xe Chợ Lớn,Big C,TRUE,99
5_1,5,Biên Hòa - Bến xe Chợ Lớn,Bến xe Chợ Lớn,Big C,Bến xe Chợ Lớn,FALSE,99
6_1,6,Lượt đi: Bến xe Chợ Lớn - Đại học Nông Lâm,Đại học Nông Lâm,Bến xe Chợ Lớn,Đại học Nông Lâm,TRUE,70
6_1,6,Lượt về: Đại học Nông Lâm - Bến xe Chợ Lớn,Bến xe Chợ Lớn,Đại học Nông Lâm,Bến xe Chợ Lớn,FALSE,70
7_1,7,Lượt đi: Bến xe Chợ Lớn - Gò vấp,Gò vấp,Bến xe Chợ Lớn,BÃI HẬU CẦN SỐ 1,TRUE,58
7_1,7,Lượt về: Gò vấp - Bến xe Chợ Lớn,Bến xe Chợ Lớn,BÃI HẬU CẦN SỐ 1,Bến xe Chợ Lớn,FALSE,58
8_1,8,Lượt đi: Bến xe Quận 8 - Đại học Quốc Gia,Đại học Quốc Gia,Bến xe Quận 8,Đại học Quốc gia,TRUE,80
8_1,8,Lượt về: Đại học Quốc Gia - Bến xe Quận 8,Bến xe Quận 8,Đại học Quốc gia,Bến xe Quận 8,FALSE,80
9_1,9,Lượt đi: Bến xe Chợ Lớn - Hưng Long,Hưng Long,Bến xe Chợ Lớn,Hưng Long,TRUE,70
9_1,9,Lượt về: Hưng Long - Bến xe Chợ Lớn,Chợ Lớn,Hưng Long,Bến xe Chợ Lớn,FALSE,70
10_1,10,Đại học Quốc Gia - Bến xe Miền Tây,Bến xe Miền Tây,Đại học Quốc gia,Bến xe Miền Tây,TRUE,80
10_1,10,Bến xe Miền Tây - Đại học Quốc Gia,Đại học Quốc Gia,Bến xe Miền Tây,Đại học Quốc gia,FALSE,80
11_1,100,Lượt đi: Bến xe Củ Chi - Cầu Tân Thái,Cầu Tân Thái,Bến xe Củ Chi,Tỉnh lộ 6,TRUE,35
11_1,100,Lượt về: Cầu Tân Thái - Bến xe Củ Chi,Bến xe Củ Chi,Tỉnh lộ 6,Bến xe Củ Chi,FALSE,35
12_1,101,Lượt đi: Bến xe Chợ Lớn - Tân Nhựt,Chợ Tân Nhựt,Bến xe Chợ Lớn,Tân Nhựt,TRUE,40
12_1,101,Lượt về: Tân Nhựt - Bến xe Chợ Lớn,Bến xe Chợ Lớn,Tân Nhựt,Bến xe Chợ Lớn,FALSE,40
13_1,102,Lượt đi: Bến Thành - Nguyễn Văn Linh - Bến xe Miền Tây,Bến xe Miền Tây,TĐH xe buýt Sài Gòn,Bến xe Miền Tây,TRUE,80
13_1,102,Lượt về: Bến xe Miền Tây - Nguyễn Văn Linh - Bến Thành,Bến Thành,Bến xe Miền Tây,TĐH xe buýt Sài Gòn,FALSE,80
14_1,103,Lượt đi: Bến xe Chợ Lớn - Bến xe Ngã 4 Ga,Bến xe Ngã 4 Ga,Bến xe Chợ Lớn,Bến xe Ngã tư Ga,TRUE,70
14_1,103,Lượt về: Bến xe Ngã 4 Ga - Bến xe Chợ Lớn,Bến xe Chợ Lớn,Bến xe Ngã tư Ga,Bến xe Chợ Lớn,FALSE,70
15_1,104,Lượt đi: Bến xe An Sương - Đại học Nông Lâm,Đại học Nông Lâm,Bến xe An Sương,Đại học Nông Lâm,TRUE,75
15_1,104,Lượt về: Đại học Nông Lâm - Bến xe An Sương,Bến xe An Sương,Đại học Nông Lâm,Bến xe An Sương,FALSE,75
16_1,107,Lượt đi: Bến xe Củ Chi - Bố Heo,Bố Heo,Bến xe Củ Chi,Bố Heo,TRUE,30
16_1,107,lượt về: Bố Heo - Bến xe Củ Chi,Bến xe Củ Chi,Bố Heo,Bến xe Củ Chi,FALSE,30
17_1,11,Lượt đi: Bến Thành - Đầm Sen,Đầm Sen,Đầu bến Hàm Nghi,BÃI XE BUÝT ĐẦM SEN,TRUE,40
17_1,11,Lượt về: Đầm Sen - Bến Thành,Bến Thành,BÃI XE BUÝT ĐẦM SEN,Đầu bến Hàm Nghi,FALSE,40
18_1,110,Lượt đi: Phú Xuân - Hiệp Phước,Hiệp Phước,Phú Xuân,Hiệp Phước,TRUE,45
18_1,110,Lượt về: Hiệp Phước - Phú Xuân,Phú Xuân,Hiệp Phước,Phú Xuân,FALSE,45
19_1,12,Bến Thành - Thác Giang Điền,Thác Giang Điền,TĐH xe buýt Sài Gòn,Ngã 3 Tân Vạn,TRUE,99
19_1,12,Thác Giang Điền - Bến Thành,Bến Thành,Ngã 3 Tân Vạn,TĐH xe buýt Sài Gòn,FALSE,95
20_1,122,Lượt đi: Bến xe An Sương - Tân Quy,Tân Quy,Bến xe An Sương,Bến xe Tân Quy,TRUE,50
20_1,122,Lượt về: Tân Quy - Bến xe An Sương,Bến xe An Sương,Bến xe Tân Quy,Bến xe An Sương,FALSE,50
23_1,126,Lượt đi: Bến xe Củ Chi - Bình Mỹ,Bình Mỹ,Bến xe Củ Chi,Bến xe Bình Mỹ,TRUE,40
23_1,126,Lượt về: Bình Mỹ - Bến xe Củ Chi,Bến xe Củ Chi,Bến xe Bình Mỹ,Bến xe Củ Chi,FALSE,40
24_1,13,Bến Thành - Bến xe Củ Chi,Bến xe Củ Chi,TĐH xe buýt Sài Gòn,Bến xe Củ Chi,TRUE,75
24_1,13,Bến xe Củ Chi - Bến Thành,Bến Thành,Bến xe Củ Chi,TĐH xe buýt Sài Gòn,FALSE,75
25_1,139,Lượt đi: Bến xe Miền Tây - Phú Xuân,Phú Xuân,Bến xe Miền Tây,Phú Xuân,TRUE,70
25_1,139,Lượt về: Phú Xuân - Bến xe Miền Tây,Bến xe Miền Tây,Phú Xuân,Bến xe Miền Tây,FALSE,66
26_1,14,Lượt đi: Bến xe Miền Đông - Bến xe Miền Tây,Miền Tây,Bến xe Miền Đông,Bến xe Miền Tây,TRUE,60
26_1,14,Lượt về: Bến xe Miền Tây - Bến xe Miền Đông,Miền Đông,Bến xe Miền Tây,Bến xe Miền Đông,FALSE,60
27_1,140,Lượt đi: Công viên 23/9 - Phạm Thế Hiển - Ba Tơ,Ba Tơ,TĐH xe buýt Sài Gòn,Ba Tơ,TRUE,55
27_1,140,Lượt về: Ba Tơ - Phạm Thế Hiển - Công viên 23/9,Công viên 23/9,Ba Tơ,TĐH xe buýt Sài Gòn,FALSE,55
28_1,141,lượt đi: KDL BCR - KCX Linh Trung,KCX Linh Trung 2,KDL BCR,Khu chế xuất Linh Trung 2,TRUE,65
28_1,141,Lượt về: KCX Linh Trung - KDL BCR,KDL BCR,Khu chế xuất Linh Trung 2,KDL BCR,FALSE,65
29_1,144,Lượt đi: Bến xe Miền Tây - Cư xá Nhiêu Lộc,CX Nhiêu Lộc,Bến xe Miền Tây,Cư xá Nhiêu Lộc,TRUE,53
29_1,144,Lượt về: Cư xá Nhiêu Lộc - Bến xe Miền Tây,Bến xe Miền Tây,Cư xá Nhiêu Lộc,Bến xe Miền Tây,FALSE,52
30_1,145,Lượt đi: Bến xe Chợ Lớn - Chợ Hiệp Thành,Chợ Hiệp Thành,Bến xe Chợ Lớn,Hiệp Thành,TRUE,70
30_1,145,Lượt về: Chợ Hiệp Thành - Bến xe Chợ Lớn,Bến xe Chợ Lớn,Hiệp Thành,Bến xe Chợ Lớn,FALSE,70
