RouteKey,VariantNumber,AddressNo,Code,Lat,Lng,Name,Routes,Search,Status,StopID,StopType,Street,hasRamp,isWheelChair
20_1,39,Bến xe An Sương,BX41,10.843.737.602.234,10.661.337.280.273,Bến xe An Sương,"04, 104, 122, 151, 27, 33, 41, 60, 60-1, 61-3, 65, 66, 71, 74, 85",BxAS BxAS Ql22,Đang khai thác,100166,Bến xe,Quốc lộ 22,Yes,Yes
20_1,39,116,Q12 122,10.844.971,106.614.026,Bến xe An Sương,"04, 104, 122, 13, 145, 24, 27, 60-1, 65, 66, 71, 74, 85",BxAS 116 Ql22,Đang khai thác,1001115,Trụ dừng,Quốc lộ 22,No,No
20_1,39,2,Q12 125,10.850.034,106.610.845,Cây xăng Quân Đội,"122, 145, 24, 71, 74, 85",CxQD 2 Ql22,Đang khai thác,1001151,Trụ dừng,Quốc lộ 22,No,No
20_1,39,Trung tâm văn hóa Quận 12,Q12 127,1.085.466,106.607.863,Trung tâm văn hóa Quận 12,"122, 13, 145, 24, 71, 74, 85, 94",TtvhQ12 TtvhQ12 Ql22,Đang khai thác,1001152,Nhà chờ,Quốc lộ 22,No,No
20_1,39,69/1,HHM 022,10.855.756,106.607.198,Liên đoàn lao động Hóc Môn,"122, 74, 85",LdldHM 69/1 Ql22,Đang khai thác,1001154,Trụ dừng,Quốc lộ 22,No,No
20_1,39,33/4,HHM 023,10.859.054,106.604.869,Cây xăng Củ Cải,"122, 74, 85",CxCC 33/4 Ql22,Đang khai thác,1001153,Trụ dừng,Quốc lộ 22,No,No
20_1,39,8/6B,HHM 025,10.861.856,106.602.844,Ngã 3 Củ Cải,"122, 13, 74, 85",N3CC 8/6B Ql22,Đang khai thác,1001156,Trụ dừng,Quốc lộ 22,No,No
20_1,39,44A,HHM 024,10.865.945,106.599.972,Trường học Tân Xuân,"122, 74, 85, 94",ThTX 44A Ql22,Đang khai thác,1001155,Trụ dừng,Quốc lộ 22,No,No
20_1,39,1/1,HHM 026,10.869.901,106.597.206,Ngã 3 Bùi Môn,"122, 74, 85",N3BM 1/1 Ql22,Đang khai thác,1001158,Trụ dừng,Quốc lộ 22,No,No
20_1,39,3/19,HHM 027,10.875.053,106.593.626,Ngã 3 Bùi Môn,"122, 13, 74, 85, 94",N3BM 3/19 Ql22,Đang khai thác,1001160,Trụ dừng,Quốc lộ 22,No,No
20_1,39,3/88C,HHM 028,10.877.482,106.591.748,Cây xăng Thành Công - Ngã tư Giếng Nước,"122, 13, 74, 85",CxTC-NtGN 3/88C Ql22,Đang khai thác,1001157,Trụ dừng,Quốc lộ 22,No,No
20_1,39,2/16A,HHM 029,1.087.765,106.591.598,Ngã tư Giếng nước,"122, 85",NtGn 2/16A Ql22,Tạm ngưng khai thác,1004751,Trụ dừng,Quốc lộ 22,No,No
20_1,39,3/88C,HHM 001,1.087.803,106.591.882,Ngã tư Giếng nước,"122, 85",NtGn 3/88C BT,Chưa khai thác,1004586,Trụ dừng,Bà Triệu,No,No
20_1,39,77/4,HHM 002,1.088.226,106.594.098,Bệnh viện Hóc Môn,"122, 85",BvHM 77/4 BT,Đang khai thác,1001162,Trụ dừng,Bà Triệu,No,No
20_1,39,84/2A,HHM 003,10.884.952,106.595.213,Trường mầm non 23-11,"122, 85",Tmn23-11 84/2A BT,Đang khai thác,1001164,Trụ dừng,Bà Triệu,No,No
